Year,State,NominalGSDP
1980,Andhra Pradesh,4912.00
1981,Andhra Pradesh,6022.00
1982,Andhra Pradesh,6503.00
1983,Andhra Pradesh,7535.00
1984,Andhra Pradesh,8142.00
1985,Andhra Pradesh,9155.00
1986,Andhra Pradesh,9838.00
1987,Andhra Pradesh,11759.00
1988,Andhra Pradesh,14833.00
1989,Andhra Pradesh,16963.00
1990,Andhra Pradesh,19993.00
1991,Andhra Pradesh,24384.00
1992,Andhra Pradesh,26625.00
1993,Andhra Pradesh,34705.00
1994,Andhra Pradesh,41335.00
1995,Andhra Pradesh,47891.00
1996,Andhra Pradesh,54064.00
1997,Andhra Pradesh,57443.00
1998,Andhra Pradesh,68931.00
1999,Andhra Pradesh,77243.00
2000,Andhra Pradesh,86795.00
2001,Andhra Pradesh,93984.00
2002,Andhra Pradesh,100212.00
2003,Andhra Pradesh,113959.00
2004,Andhra Pradesh,134767.00
2005,Andhra Pradesh,147606.00
2006,Andhra Pradesh,174064.00
2007,Andhra Pradesh,212361.00
2008,Andhra Pradesh,237383.00
2009,Andhra Pradesh,273327.00
2010,Andhra Pradesh,319864.00
2011,Andhra Pradesh,379230.00
2012,Andhra Pradesh,410961.00
2013,Andhra Pradesh,468494.00
2014,Andhra Pradesh,532922.00
1980,Arunachal Pradesh,107.00
1981,Arunachal Pradesh,142.00
1982,Arunachal Pradesh,166.00
1983,Arunachal Pradesh,189.00
1984,Arunachal Pradesh,221.00
1985,Arunachal Pradesh,269.00
1986,Arunachal Pradesh,305.00
1987,Arunachal Pradesh,330.00
1988,Arunachal Pradesh,387.00
1989,Arunachal Pradesh,412.00
1990,Arunachal Pradesh,508.00
1991,Arunachal Pradesh,629.00
1992,Arunachal Pradesh,741.00
1993,Arunachal Pradesh,893.00
1994,Arunachal Pradesh,970.00
1995,Arunachal Pradesh,1184.00
1996,Arunachal Pradesh,1212.00
1997,Arunachal Pradesh,1337.00
1998,Arunachal Pradesh,1515.00
1999,Arunachal Pradesh,1612.00
2000,Arunachal Pradesh,1787.00
2001,Arunachal Pradesh,2104.00
2002,Arunachal Pradesh,2071.00
2003,Arunachal Pradesh,2368.00
2004,Arunachal Pradesh,3488.00
2005,Arunachal Pradesh,3755.00
2006,Arunachal Pradesh,4108.00
2007,Arunachal Pradesh,4810.00
2008,Arunachal Pradesh,5687.00
2009,Arunachal Pradesh,7474.00
2010,Arunachal Pradesh,9021.00
2011,Arunachal Pradesh,11062.69
2012,Arunachal Pradesh,12546.65
2013,Arunachal Pradesh,14607.36
2014,Arunachal Pradesh,16389.23
1980,Assam,2516.00
1981,Assam,3228.00
1982,Assam,3657.00
1983,Assam,4347.00
1984,Assam,5113.00
1985,Assam,5673.00
1986,Assam,6176.00
1987,Assam,7001.00
1988,Assam,7600.00
1989,Assam,9084.00
1990,Assam,10621.00
1991,Assam,11848.00
1992,Assam,13048.00
1993,Assam,15143.00
1994,Assam,17551.00
1995,Assam,19411.00
1996,Assam,21017.00
1997,Assam,22806.00
1998,Assam,25558.00
1999,Assam,34833.00
2000,Assam,36814.00
2001,Assam,38313.00
2002,Assam,43407.00
2003,Assam,47305.00
2004,Assam,53398.00
2005,Assam,59385.00
2006,Assam,64692.00
2007,Assam,71076.00
2008,Assam,81074.00
2009,Assam,95975.00
2010,Assam,112688.00
2011,Assam,143174.91
2012,Assam,156864.24
2013,Assam,177745.22
2014,Assam,198098.00
1980,Bihar,2625.00
1981,Bihar,3008.00
1982,Bihar,2923.00
1983,Bihar,3645.00
1984,Bihar,4102.00
1985,Bihar,4398.00
1986,Bihar,5388.00
1987,Bihar,6097.00
1988,Bihar,7162.00
1989,Bihar,7903.00
1990,Bihar,8870.00
1991,Bihar,16694.00
1992,Bihar,18359.00
1993,Bihar,22812.00
1994,Bihar,25945.00
1995,Bihar,24483.00
1996,Bihar,32541.00
1997,Bihar,33662.00
1998,Bihar,39033.00
1999,Bihar,50174.00
2000,Bihar,57242.00
2001,Bihar,57657.00
2002,Bihar,64965.00
2003,Bihar,66174.00
2004,Bihar,77781.00
2005,Bihar,82490.00
2006,Bihar,100737.00
2007,Bihar,113680.00
2008,Bihar,142279.00
2009,Bihar,162923.00
2010,Bihar,203555.00
2011,Bihar,247144.00
2012,Bihar,282368.00
2013,Bihar,317101.00
2014,Bihar,373920.00
1980,Chhattisgarh,4153.00
1981,Chhattisgarh,4567.00
1982,Chhattisgarh,5238.00
1983,Chhattisgarh,6118.00
1984,Chhattisgarh,6331.00
1985,Chhattisgarh,7416.00
1986,Chhattisgarh,7740.00
1987,Chhattisgarh,9811.00
1988,Chhattisgarh,11553.00
1989,Chhattisgarh,13062.00
1990,Chhattisgarh,16251.00
1991,Chhattisgarh,17391.00
1992,Chhattisgarh,19510.00
1993,Chhattisgarh,16194.00
1994,Chhattisgarh,18087.00
1995,Chhattisgarh,19749.00
1996,Chhattisgarh,21191.00
1997,Chhattisgarh,27716.00
1998,Chhattisgarh,30551.00
1999,Chhattisgarh,34323.00
2000,Chhattisgarh,32093.00
2001,Chhattisgarh,35069.00
2002,Chhattisgarh,37967.00
2003,Chhattisgarh,42449.00
2004,Chhattisgarh,47862.00
2005,Chhattisgarh,53381.00
2006,Chhattisgarh,66875.00
2007,Chhattisgarh,80255.00
2008,Chhattisgarh,96972.00
2009,Chhattisgarh,99364.00
2010,Chhattisgarh,119420.00
2011,Chhattisgarh,158073.83
2012,Chhattisgarh,177511.32
2013,Chhattisgarh,206785.73
2014,Chhattisgarh,236317.82
1993,Delhi,20992.00
1994,Delhi,25847.00
1995,Delhi,28390.00
1996,Delhi,33803.00
1997,Delhi,41235.00
1998,Delhi,47484.00
1999,Delhi,55220.00
2000,Delhi,60125.00
2001,Delhi,65027.00
2002,Delhi,71361.00
2003,Delhi,79468.00
2004,Delhi,100325.00
2005,Delhi,115374.00
2006,Delhi,135584.00
2007,Delhi,157947.00
2008,Delhi,189533.00
2009,Delhi,217619.00
2010,Delhi,252753.00
2011,Delhi,343260.41
2012,Delhi,391071.36
2013,Delhi,446806.82
2014,Delhi,494460.34
1980,Goa,398.00
1981,Goa,436.00
1982,Goa,519.00
1983,Goa,549.00
1984,Goa,666.00
1985,Goa,655.00
1986,Goa,771.00
1987,Goa,856.00
1988,Goa,978.00
1989,Goa,1128.00
1990,Goa,1257.00
1991,Goa,1551.00
1992,Goa,1872.00
1993,Goa,2397.00
1994,Goa,2838.00
1995,Goa,3319.00
1996,Goa,3965.00
1997,Goa,4921.00
1998,Goa,6075.00
1999,Goa,6330.00
2000,Goa,6757.00
2001,Goa,7097.00
2002,Goa,8100.00
2003,Goa,9301.00
2004,Goa,12713.00
2005,Goa,14327.00
2006,Goa,16523.00
2007,Goa,19565.00
2008,Goa,25414.00
2009,Goa,29126.00
2010,Goa,33605.00
2011,Goa,42252.74
2012,Goa,38647.29
2013,Goa,42243.45
2014,Goa,45547.55
1980,Gujarat,7427.00
1981,Gujarat,9253.00
1982,Gujarat,9887.00
1983,Gujarat,12681.00
1984,Gujarat,13311.00
1985,Gujarat,13988.00
1986,Gujarat,16174.00
1987,Gujarat,16339.00
1988,Gujarat,22349.00
1989,Gujarat,24777.00
1990,Gujarat,27996.00
1991,Gujarat,30632.00
1992,Gujarat,40316.00
1993,Gujarat,49194.00
1994,Gujarat,63516.00
1995,Gujarat,71886.00
1996,Gujarat,85837.00
1997,Gujarat,91188.00
1998,Gujarat,105305.00
1999,Gujarat,109861.00
2000,Gujarat,111139.00
2001,Gujarat,123573.00
2002,Gujarat,141534.00
2003,Gujarat,168080.00
2004,Gujarat,203373.00
2005,Gujarat,244736.00
2006,Gujarat,283693.00
2007,Gujarat,329285.00
2008,Gujarat,367912.00
2009,Gujarat,431262.00
2010,Gujarat,521519.00
2011,Gujarat,615606.07
2012,Gujarat,724495.79
2013,Gujarat,807623.20
2014,Gujarat,895926.71
1980,Haryana,3386.00
1981,Haryana,3911.00
1982,Haryana,4485.00
1983,Haryana,4890.00
1984,Haryana,5382.00
1985,Haryana,6552.00
1986,Haryana,6889.00
1987,Haryana,7739.00
1988,Haryana,10015.00
1989,Haryana,11147.00
1990,Haryana,13636.00
1991,Haryana,16339.00
1992,Haryana,17343.00
1993,Haryana,22131.00
1994,Haryana,26245.00
1995,Haryana,29789.00
1996,Haryana,35642.00
1997,Haryana,38649.00
1998,Haryana,43646.00
1999,Haryana,51375.00
2000,Haryana,58183.00
2001,Haryana,65505.00
2002,Haryana,72528.00
2003,Haryana,82862.00
2004,Haryana,95795.00
2005,Haryana,108885.00
2006,Haryana,128732.00
2007,Haryana,151596.00
2008,Haryana,182522.00
2009,Haryana,223600.00
2010,Haryana,260621.00
2011,Haryana,300755.57
2012,Haryana,350406.61
2013,Haryana,395747.73
2014,Haryana,441864.26
1980,Himachal Pradesh,794.00
1981,Himachal Pradesh,925.00
1982,Himachal Pradesh,987.00
1983,Himachal Pradesh,1127.00
1984,Himachal Pradesh,1139.00
1985,Himachal Pradesh,1372.00
1986,Himachal Pradesh,1517.00
1987,Himachal Pradesh,1722.00
1988,Himachal Pradesh,2157.00
1989,Himachal Pradesh,2436.00
1990,Himachal Pradesh,2815.00
1991,Himachal Pradesh,3317.00
1992,Himachal Pradesh,3824.00
1993,Himachal Pradesh,4783.00
1994,Himachal Pradesh,5825.00
1995,Himachal Pradesh,6698.00
1996,Himachal Pradesh,7755.00
1997,Himachal Pradesh,8837.00
1998,Himachal Pradesh,10696.00
1999,Himachal Pradesh,14112.00
2000,Himachal Pradesh,15661.00
2001,Himachal Pradesh,17148.00
2002,Himachal Pradesh,18905.00
2003,Himachal Pradesh,20721.00
2004,Himachal Pradesh,24077.00
2005,Himachal Pradesh,27127.00
2006,Himachal Pradesh,30274.00
2007,Himachal Pradesh,33963.00
2008,Himachal Pradesh,41483.00
2009,Himachal Pradesh,48189.00
2010,Himachal Pradesh,57452.00
2011,Himachal Pradesh,72719.83
2012,Himachal Pradesh,82819.78
2013,Himachal Pradesh,94764.16
2014,Himachal Pradesh,104368.79
1980,Jammu & Kashmir,1186.00
1981,Jammu & Kashmir,1361.00
1982,Jammu & Kashmir,1561.00
1983,Jammu & Kashmir,1782.00
1984,Jammu & Kashmir,2021.00
1985,Jammu & Kashmir,2256.00
1986,Jammu & Kashmir,2620.00
1987,Jammu & Kashmir,2524.00
1988,Jammu & Kashmir,3065.00
1989,Jammu & Kashmir,3299.00
1990,Jammu & Kashmir,3614.00
1991,Jammu & Kashmir,4110.00
1992,Jammu & Kashmir,4558.00
1993,Jammu & Kashmir,6343.00
1994,Jammu & Kashmir,6977.00
1995,Jammu & Kashmir,8097.00
1996,Jammu & Kashmir,9124.00
1997,Jammu & Kashmir,10286.00
1998,Jammu & Kashmir,11415.00
1999,Jammu & Kashmir,15660.00
2000,Jammu & Kashmir,16700.00
2001,Jammu & Kashmir,18039.00
2002,Jammu & Kashmir,20326.00
2003,Jammu & Kashmir,22194.00
2004,Jammu & Kashmir,27305.00
2005,Jammu & Kashmir,29920.00
2006,Jammu & Kashmir,33230.00
2007,Jammu & Kashmir,37099.00
2008,Jammu & Kashmir,42315.00
2009,Jammu & Kashmir,48385.00
2010,Jammu & Kashmir,58073.00
2011,Jammu & Kashmir,77944.98
2012,Jammu & Kashmir,86537.33
2013,Jammu & Kashmir,97400.31
2014,Jammu & Kashmir,102680.51
1980,Jharkhand,4728.00
1981,Jharkhand,5554.00
1982,Jharkhand,6712.00
1983,Jharkhand,7300.00
1984,Jharkhand,8902.00
1985,Jharkhand,9897.00
1986,Jharkhand,10873.00
1987,Jharkhand,11541.00
1988,Jharkhand,14019.00
1989,Jharkhand,14707.00
1990,Jharkhand,17559.00
1991,Jharkhand,12825.00
1992,Jharkhand,13555.00
1993,Jharkhand,41079.00
1994,Jharkhand,47915.00
1995,Jharkhand,56215.00
1996,Jharkhand,65176.00
1997,Jharkhand,73046.00
1998,Jharkhand,87841.00
1999,Jharkhand,101247.00
2000,Jharkhand,108362.00
2001,Jharkhand,112847.00
2002,Jharkhand,120889.00
2003,Jharkhand,130990.00
2004,Jharkhand,59758.00
2005,Jharkhand,60901.00
2006,Jharkhand,66935.00
2007,Jharkhand,83950.00
2008,Jharkhand,87794.00
2009,Jharkhand,100621.00
2010,Jharkhand,127281.00
2011,Jharkhand,150917.59
2012,Jharkhand,174723.69
2013,Jharkhand,188566.62
2014,Jharkhand,217107.18
1980,Karnataka,6210.00
1981,Karnataka,7169.00
1982,Karnataka,8012.00
1983,Karnataka,9610.00
1984,Karnataka,10831.00
1985,Karnataka,11575.00
1986,Karnataka,13271.00
1987,Karnataka,15158.00
1988,Karnataka,17709.00
1989,Karnataka,20214.00
1990,Karnataka,23300.00
1991,Karnataka,30092.00
1992,Karnataka,33036.00
1993,Karnataka,26326.00
1994,Karnataka,31877.00
1995,Karnataka,38762.00
1996,Karnataka,44460.00
1997,Karnataka,49484.00
1998,Karnataka,56204.00
1999,Karnataka,69168.00
2000,Karnataka,72659.00
2001,Karnataka,77924.00
2002,Karnataka,86895.00
2003,Karnataka,96698.00
2004,Karnataka,166747.00
2005,Karnataka,195904.00
2006,Karnataka,227237.00
2007,Karnataka,270629.00
2008,Karnataka,310312.00
2009,Karnataka,337559.00
2010,Karnataka,410703.00
2011,Karnataka,603777.58
2012,Karnataka,692224.07
2013,Karnataka,818167.19
2014,Karnataka,920061.45
1980,Kerala,4286.00
1981,Kerala,4610.00
1982,Kerala,5373.00
1983,Kerala,6272.00
1984,Kerala,6977.00
1985,Kerala,7520.00
1986,Kerala,8536.00
1987,Kerala,9578.00
1988,Kerala,10673.00
1989,Kerala,12213.00
1990,Kerala,14098.00
1991,Kerala,17530.00
1992,Kerala,19937.00
1993,Kerala,37971.00
1994,Kerala,42339.00
1995,Kerala,47841.00
1996,Kerala,55049.00
1997,Kerala,60062.00
1998,Kerala,69216.00
1999,Kerala,80132.00
2000,Kerala,79203.00
2001,Kerala,86745.00
2002,Kerala,86832.00
2003,Kerala,102839.00
2004,Kerala,119264.00
2005,Kerala,136842.00
2006,Kerala,153785.00
2007,Kerala,175141.00
2008,Kerala,202783.00
2009,Kerala,231999.00
2010,Kerala,263773.00
2011,Kerala,364047.87
2012,Kerala,412313.00
2013,Kerala,465039.76
2014,Kerala,526774.38
1980,Madhya Pradesh,3635.00
1981,Madhya Pradesh,3997.00
1982,Madhya Pradesh,4584.00
1983,Madhya Pradesh,5353.00
1984,Madhya Pradesh,5540.00
1985,Madhya Pradesh,6489.00
1986,Madhya Pradesh,6773.00
1987,Madhya Pradesh,8586.00
1988,Madhya Pradesh,10110.00
1989,Madhya Pradesh,11430.00
1990,Madhya Pradesh,14221.00
1991,Madhya Pradesh,15218.00
1992,Madhya Pradesh,17073.00
1993,Madhya Pradesh,14171.00
1994,Madhya Pradesh,15562.00
1995,Madhya Pradesh,17177.00
1996,Madhya Pradesh,19404.00
1997,Madhya Pradesh,21658.00
1998,Madhya Pradesh,24061.00
1999,Madhya Pradesh,27249.00
2000,Madhya Pradesh,25846.00
2001,Madhya Pradesh,29539.00
2002,Madhya Pradesh,32493.00
2003,Madhya Pradesh,38802.00
2004,Madhya Pradesh,112927.00
2005,Madhya Pradesh,124276.00
2006,Madhya Pradesh,144577.00
2007,Madhya Pradesh,161479.00
2008,Madhya Pradesh,197276.00
2009,Madhya Pradesh,227557.00
2010,Madhya Pradesh,263396.00
2011,Madhya Pradesh,315560.91
2012,Madhya Pradesh,380926.18
2013,Madhya Pradesh,435789.86
2014,Madhya Pradesh,484537.56
1980,Maharashtra,16631.00
1981,Maharashtra,18738.00
1982,Maharashtra,20315.00
